Divisao;Secao;Denominacao
33;c;INDÚSTRIAS DE TRANSFORMAÇÃO
35;d;ELETRICIDADE E GÁS
36;e;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO
37;e;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO
38;e;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO
39;e;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO
41;f;CONSTRUÇÃO
42;f;CONSTRUÇÃO
43;f;CONSTRUÇÃO
45;g;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS"
46;g;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS"
47;g;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS"
49;h;TRANSPORTE, ARMAZENAGEM E CORREIO
50;h;TRANSPORTE, ARMAZENAGEM E CORREIO
51;h;TRANSPORTE, ARMAZENAGEM E CORREIO
52;h;TRANSPORTE, ARMAZENAGEM E CORREIO
53;h;TRANSPORTE, ARMAZENAGEM E CORREIO
55;i;ALOJAMENTO E ALIMENTAÇÃO
56;i;ALOJAMENTO E ALIMENTAÇÃO
58;j;INFORMAÇÃO E COMUNICAÇÃO
59;j;INFORMAÇÃO E COMUNICAÇÃO
60;j;INFORMAÇÃO E COMUNICAÇÃO
61;j;INFORMAÇÃO E COMUNICAÇÃO
62;j;INFORMAÇÃO E COMUNICAÇÃO
63;j;INFORMAÇÃO E COMUNICAÇÃO
64;k;ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS
65;k;ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS
66;k;ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS
68;l;ATIVIDADES IMOBILIÁRIAS
69;m;ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS
70;m;ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS
71;m;ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS
72;m;ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS
73;m;ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS
74;m;ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS
75;m;ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS
77;n;ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
78;n;ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
79;n;ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
80;n;ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
81;n;ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
82;n;ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
84;o;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL
85;p;EDUCAÇÃO
86;q;SAÚDE HUMANA E SERVIÇOS SOCIAIS
87;q;SAÚDE HUMANA E SERVIÇOS SOCIAIS
88;q;SAÚDE HUMANA E SERVIÇOS SOCIAIS
90;r;ARTES, CULTURA, ESPORTE E RECREAÇÃO
91;r;ARTES, CULTURA, ESPORTE E RECREAÇÃO
92;r;ARTES, CULTURA, ESPORTE E RECREAÇÃO
93;r;ARTES, CULTURA, ESPORTE E RECREAÇÃO
94;s;OUTRAS ATIVIDADES DE SERVIÇOS
95;s;OUTRAS ATIVIDADES DE SERVIÇOS
96;s;OUTRAS ATIVIDADES DE SERVIÇOS
97;t;SERVIÇOS DOMÉSTICOS
99;u;ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS
