CÓDIGO SIAFI;CNPJ;DESCRIÇÃO;UF;CÓDIGO IBGE
1;5,89363E+12;GUAJARA-MIRIM;RO;1100106
2;8,4745E+13;ALTO ALEGRE DOS PARECIS;RO;1100379
3;5,90313E+12;PORTO VELHO;RO;1100205
8;8,47369E+13;CUJUBIM;RO;1100940
13;4,09271E+12;VILHENA;RO;1100304
15;4,27924E+12;JARU;RO;1100114
16;8,4723E+13;PRIMAVERA DE RONDONIA;RO;1101476
17;4,38051E+12;OURO PRETO DO OESTE;RO;1100155
20;1,25442E+12;SAO FRANCISCO DO GUAPORE;RO;1101492
22;8,47229E+13;TEIXEIROPOLIS;RO;1101559
23;4,39151E+12;COLORADO DO OESTE;RO;1100064
31;3,76221E+13;CALDAZINHA;GO;5204557
32;1,61303E+12;IRACEMA;RR;1400282
35;1,58453E+13;ALVORADA D'OESTE;RO;1100346
36;1,61303E+12;RORAINOPOLIS;RR;1400472
37;2,28552E+13;CABIXI;RO;1100031
39;2,28551E+13;MACHADINHO D'OESTE;RO;1100130
44;1,61411E+12;BELTERRA;PA;1501451
48;1,61332E+12;CANAA DOS CARAJAS;PA;1502152
49;3,76235E+13;JESUPOLIS;GO;5212055
52;1,61334E+12;FLORESTA DO ARAGUAIA;PA;1503044
53;3,76235E+13;SANTO ANTONIO DE GOIAS;GO;5219738
56;1,61222E+12;NOVA IPIXUNA;PA;1504976
59;3,76222E+13;UIRAPURU;GO;5221577
60;1,61186E+12;PLACAS;PA;1505650
61;2,48566E+13;BURITINOPOLIS;GO;5203962
63;2,68678E+13;BURITI DE GOIAS;GO;5203939
64;1,61332E+12;SAO JOAO DA PONTA;PA;1507466
68;1,613E+12;TRACUATEUA;PA;1508035
70;7,20553E+11;VITORIA DO JARI;AP;1600808
71;2,48593E+13;APARECIDA DO RIO DOCE;GO;5201454
72;1,63407E+12;AGUIARNOPOLIS;TO;1700301
75;2,48593E+13;PEROLANDIA;GO;5216452
77;3,68626E+13;CIDADE OCIDENTAL;GO;5205497
78;1,62598E+12;CHAPADA DE AREIA;TO;1704600
82;1,61282E+12;CRIXAS DO TOCANTINS;TO;1706258
85;3,33316E+13;ALTO HORIZONTE;GO;5200555
86;1,6184E+12;LAVANDEIRA;TO;1712157
87;3,33317E+13;NOVA IGUACU DE GOIAS;GO;5214879
90;1,61309E+12;MONTE SANTO DO TOCANTINS;TO;1713700
93;3,74649E+13;SAO PEDRO DA CIPA;MT;5107404
94;1,61588E+12;PUGMIL;TO;1718451
95;3,30007E+13;PONTAL DO ARAGUAIA;MT;5106653
97;3,7465E+13;QUERENCIA;MT;5107065
98;1,63403E+12;SANTA TEREZINHA DO TOCANTINS;TO;1720002
99;1,59434E+13;RIBEIRAOZINHO;MT;5107198
102;1,61362E+12;TUPIRAMA;TO;1721257
104;1,61234E+12;AGUA DOCE DO MARANHAO;MA;2100154
105;4,50893E+12;BRASILEIA;AC;1200104
107;4,01255E+12;CRUZEIRO DO SUL;AC;1200203
108;1,61283E+12;ALTO ALEGRE DO PINDARE;MA;2100477
115;3,74642E+13;SANTO AFONSO;MT;5107263
116;1,6114E+12;BACABEIRA;MA;2101251
117;3,36838E+13;NOVA BANDEIRANTES;MT;5106158
119;3,74656E+13;NOVA MONTE VERDE;MT;5108956
120;1,61255E+12;BELAGUA;MA;2101731
124;1,61235E+12;BERNARDO DO MEARIM;MA;2101939
127;3,74651E+13;ALTO BOA VISTA;MT;5100359
128;1,61267E+12;BOM JESUS DAS SELVAS;MA;2102036
131;3,74647E+13;CONFRESA;MT;5103353
132;1,61232E+12;BREJO DE AREIA;MA;2102150
135;3,7465E+13;GLORIA D'OESTE;MT;5103957
136;1,6013E+12;BURITIRANA;MA;2102358
139;4,03458E+12;RIO BRANCO;AC;1200401
140;1,59855E+12;CAMPESTRE DO MARANHAO;MA;2102556
143;3,72127E+13;NOVA ALVORADA DO SUL;MS;5006002
144;1,61234E+12;CENTRAL DO MARANHAO;MA;2103125
147;3,46936E+13;TARAUACA;AC;1200609
148;1,61232E+12;CENTRO NOVO DO MARANHAO;MA;2103174
153;4,07725E+12;SENADOR GUIOMARD;AC;1200450
154;1,61627E+12;DAVINOPOLIS;MA;2103752
155;4,05121E+12;MANOEL URBANO;AC;1200344
157;4,04599E+12;ASSIS BRASIL;AC;1200054
158;1,61267E+12;FERNANDO FALCAO;MA;2104081
162;1,59763E+12;GOVERNADOR EDISON LOBAO;MA;2104552
163;1,98981E+12;LAGUNA CARAPA;MS;5005251
166;1,61512E+12;GOVERNADOR NEWTON BELLO;MA;2104651
170;1,61235E+12;IGARAPE DO MEIO;MA;2105153
171;2,50641E+13;CACHOEIRINHA;TO;1703826
172;1,61255E+12;ITAIPAVA DO GRAJAU;MA;2105351
176;1,61668E+12;JATOBA;MA;2105450
180;1,61233E+12;JUNCO DO MARANHAO;MA;2105658
183;2,5064E+13;MAURILANDIA DO TOCANTINS;TO;1712801
184;1,61254E+12;LAGO DOS RODRIGUES;MA;2105948
191;2,5064E+13;PAU D'ARCO;TO;1716307
192;1,55507E+12;MARAJA DO SENA;MA;2106359
195;2,50639E+13;SANTA FE DO ARAGUAIA;TO;1718865
196;1,61283E+12;MATOES DO NORTE;MA;2106631
200;1,60877E+12;NOVA COLINAS;MA;2107258
203;4,26276E+12;ANORI;AM;1300102
204;1,61263E+12;OLINDA NOVA DO MARANHAO;MA;2107456
205;4,53071E+12;ATALAIA DO NORTE;AM;1300201
207;4,47764E+12;AUTAZES;AM;1300300
208;1,61495E+12;PEDRO DO ROSARIO;MA;2108256
209;4,27104E+12;BARCELOS;AM;1300409
212;1,61254E+12;PORTO RICO DO MARANHAO;MA;2109056
213;4,24398E+12;BENJAMIN CONSTANT;AM;1300607
216;1,61375E+12;PRESIDENTE SARNEY;MA;2109270
217;4,47757E+12;BORBA;AM;1300805
220;1,59855E+12;RIBAMAR FIQUENE;MA;2109551
221;4,53004E+12;CARAUARI;AM;1301001
224;1,61283E+12;SANTANA DO MARANHAO;MA;2110237
225;4,26243E+12;COARI;AM;1301209
229;4,19077E+12;EIRUNEPE;AM;1301407
230;1,61668E+12;SAO FRANCISCO DO BREJAO;MA;2110856
233;4,5301E+12;FONTE BOA;AM;1301605
234;1,59763E+12;SAO JOAO DO PARAISO;MA;2111052
237;4,19424E+12;SANTA ISABEL DO RIO NEGRO;AM;1303601
238;1,61677E+12;SAO JOSE DOS BASILIOS;MA;2111250
240;1,61396E+12;SAO PEDRO DA AGUA BRANCA;MA;2111532
244;1,61184E+12;SAO RAIMUNDO DO DOCA BEZERRA;MA;2111631
245;4,50551E+12;JAPURA;AM;1302108
248;1,6119E+12;SATUBINHA;MA;2111722
249;4,2859E+12;JUTAI;AM;1302306
252;1,59897E+12;SENADOR LA ROCQUE;MA;2111763
253;4,27406E+12;MANACAPURU;AM;1302504
256;1,61234E+12;SUCUPIRA DO RIACHAO;MA;2111953
257;4,19717E+12;MANICORE;AM;1302702
260;1,61263E+12;TUFILANDIA;MA;2112274
261;4,28287E+12;MAUES;AM;1302900
265;4,4776E+12;NOVA OLINDA DO NORTE;AM;1303106
268;1,61256E+12;ALVORADA DO GURGUEIA;PI;2200459
269;4,32974E+12;PARINTINS;AM;1303403
272;1,61257E+12;BARRA D'ALCANTARA;PI;2201176
273;4,53206E+12;SANTO ANTONIO DO ICA;AM;1303700
275;5,82958E+12;SAO PAULO DE OLIVENCA;AM;1303908
276;1,61256E+12;BELEM DO PIAUI;PI;2201572
278;1,61262E+12;BETANIA DO PIAUI;PI;2201739
279;4,53039E+12;TAPAUA;AM;1304104
282;1,61257E+12;BOQUEIRAO DO PIAUI;PI;2201945
285;4,47778E+12;URUCARA;AM;1304302
286;1,61257E+12;CAJAZEIRAS DO PIAUI;PI;2202075
289;4,62834E+12;ALVARAES;AM;1300029
290;1,61256E+12;CAMPO ALEGRE DO FIDALGO;PI;2202117
293;4,62802E+12;ANAMA;AM;1300086
294;1,61275E+12;CAMPO LARGO DO PIAUI;PI;2202174
295;4,62811E+12;BERURI;AM;1300631
297;4,62928E+12;BOA VISTA DO RAMOS;AM;1300680
298;1,61262E+12;CARAUBAS DO PIAUI;PI;2202539
301;5,94303E+12;BOA VISTA;RR;1400100
302;1,61262E+12;CAXINGO;PI;2202653
307;4,05621E+12;BONFIM;RR;1400159
311;4,05622E+12;NORMANDIA;RR;1400407
312;1,61256E+12;CURRAL NOVO DO PIAUI;PI;2203271
315;4,05623E+12;SAO LUIZ;RR;1400605
317;2,67531E+13;MATEIROS;TO;1712702
318;1,49915E+12;GEMINIANO;PI;2204352
320;1,61258E+12;GUARIBAS;PI;2204550
323;3,32625E+13;RIO DA CONCEICAO;TO;1718659
324;1,61256E+12;JATOBA DO PIAUI;PI;2205276
327;3,73444E+13;CARIRI DO TOCANTINS;TO;1703867
328;1,61268E+12;JOCA MARQUES;PI;2205458
332;1,61262E+12;JULIO BORGES;PI;2205524
338;1,61258E+12;LAGOA DE SAO FRANCISCO;PI;2205573
341;3,74208E+13;BOM JESUS DO TOCANTINS;TO;1703305
345;3,74211E+13;FORTALEZA DO TABOCAO;TO;1708254
348;1,61259E+12;MILTON BRANDAO;PI;2206357
351;3,74207E+13;LAJEADO;TO;1712009
352;1,61259E+12;MORRO DO CHAPEU DO PIAUI;PI;2206670
355;2,50639E+13;PIRAQUE;TO;1717206
356;1,61259E+12;NOSSA SENHORA DE NAZARE;PI;2206753
363;2,67531E+13;SAO FELIX DO TOCANTINS;TO;1720150
364;1,6126E+12;PAQUETA;PI;2207553
365;3,74207E+13;TUPIRATINS;TO;1721307
367;2,67531E+13;LAGOA DA CONFUSAO;TO;1711902
368;1,6126E+12;PEDRO LAURENTINO;PI;2207934
369;8,33347E+13;SANTA BARBARA DO PARA;PA;1506351
370;1,6126E+12;NOVA SANTA RITA;PI;2207959
374;1,61261E+12;RIACHO FRIO;PI;2208858
375;8,32114E+13;ABEL FIGUEIREDO;PA;1500131
378;1,6126E+12;SANTO ANTONIO DOS MILAGRES;PI;2209450
381;8,32114E+13;SAO DOMINGOS DO ARAGUAIA;PA;1507151
382;1,61261E+12;SAO GONCALO DO GURGUEIA;PI;2209757
383;3,46711E+13;AGUA AZUL DO NORTE;PA;1500347
385;3,4671E+13;CUMARU DO NORTE;PA;1502764
389;8,3268E+13;AURORA DO PARA;PA;1500958
390;1,51947E+12;SAO LUIS DO PIAUI;PI;2210375
391;8,42639E+13;NOVA ESPERANCA DO PIRIA;PA;1504950
392;1,61262E+12;SAO MIGUEL DA BAIXA GRANDE;PI;2210383
395;2,29414E+13;TAILANDIA;PA;1507953
397;2,29811E+13;TUCUMA;PA;1508084
398;1,61261E+12;SEBASTIAO LEAL;PI;2210631
401;5,10513E+12;ABAETETUBA;PA;1500107
402;1,61686E+12;TAMBORIL DO PIAUI;PI;2210953
403;5,19655E+12;ACARA;PA;1500206
407;4,83879E+12;ALENQUER;PA;1500404
409;5,13946E+12;ALMEIRIM;PA;1500503
410;1,61261E+12;WALL FERRAZ;PI;2211704
413;5,84996E+12;ANAJAS;PA;1500701
414;1,61238E+12;CAICARA DO NORTE;RN;2401859
417;4,8736E+12;AUGUSTO CORREA;PA;1500909
418;1,6124E+12;ITAJA;RN;2404853
421;4,87654E+12;BAGRE;PA;1501105
424;1,61244E+12;SANTA MARIA;RN;2409332
425;5,05846E+12;BARCARENA;PA;1501303
426;1,61237E+12;PORTO DO MANGUE;RN;2410256
428;1,62288E+12;TIBAU;RN;2411056
429;5,05847E+12;BENEVIDES;PA;1501501
433;4,87359E+12;BRAGANCA;PA;1501709
436;1,61238E+12;TRIUNFO POTIGUAR;RN;2414456
437;5,19656E+12;BUJARU;PA;1501907
441;5,10528E+12;CAMETA;PA;1502103
444;1,61247E+12;AMPARO;PB;2500734
445;5,14911E+12;CAPITAO POCO;PA;1502301
448;1,61269E+12;AREIA DE BARAUNAS;PB;2501153
449;4,88811E+12;CHAVES;PA;1502509
452;1,61251E+12;BARAUNA;PB;2501534
453;5,0704E+12;CONCEICAO DO ARAGUAIA;PA;1502707
456;1,62154E+12;BERNARDINO BATISTA;PB;2502052
457;5,17194E+12;CURUCA;PA;1502905
460;1,61269E+12;CACIMBAS;PB;2503555
461;4,8764E+12;GURUPA;PA;1503101
464;1,6123E+12;CAPIM;PB;2504033
468;1,61798E+12;CASSERENGUE;PB;2504157
469;5,19312E+12;IRITUIA;PA;1503507
472;1,61276E+12;COXIXOLA;PB;2504850
473;5,0771E+12;ITUPIRANGA;PA;1503705
476;1,61237E+12;CURRAL DE CIMA;PB;2505279
477;5,25756E+12;JURUTI;PA;1503903
481;5,17195E+12;MAGALHAES BARATA;PA;1504109
483;5,85316E+12;MARABA;PA;1504208
484;1,61235E+12;MARCACAO;PB;2509057
485;4,88026E+12;MARACANA;PA;1504307
487;5,17168E+12;MARAPANIM;PA;1504406
488;1,61264E+12;MATINHAS;PB;2509339
491;5,8467E+12;MOCAJUBA;PA;1504604
492;1,61269E+12;MATUREIA;PB;2509396
495;4,8385E+12;MONTE ALEGRE;PA;1504802
498;1,61578E+12;POCO DE JOSE DE MOURA;PB;2512077
499;5,14913E+12;NOVA TIMBOTEUA;PA;1505007
500;1,61297E+12;PEDRO REGIS;PB;2512721
503;4,87641E+12;OEIRAS DO PARA;PA;1505205
504;1,61234E+12;RIACHAO DO BACAMARTE;PB;2512754
507;5,14913E+12;OUREM;PA;1505403
508;1,61264E+12;RIACHO DE SANTO ANTONIO;PB;2512788
511;5,14916E+12;PEIXE-BOI;PA;1505601
512;1,61269E+12;SANTA INES;PB;2513356
514;1,61328E+12;JOCA CLAUDINO;PB;2513653
518;1,61269E+12;SAO BENTINHO;PB;2513927
519;4,86085E+12;PRAINHA;PA;1506005
520;1,61265E+12;SAO DOMINGOS DO CARIRI;PB;2513943
523;5,14917E+12;SALINOPOLIS;PA;1506203
528;1,61268E+12;SAO JOSE DE PRINCESA;PB;2514552
531;5,14917E+12;SANTA MARIA DO PARA;PA;1506609
537;5,14918E+12;SANTAREM NOVO;PA;1506906
538;1,61265E+12;TENORIO;PB;2516755
541;5,35161E+12;SAO CAETANO DE ODIVELAS;PA;1507102
542;1,61264E+12;ZABELE;PB;2517407
545;5,4213E+12;SAO FELIX DO XINGU;PA;1507300
546;1,6187E+12;CASINHAS;PE;2604155
549;5,85453E+12;SAO JOAO DO ARAGUAIA;PA;1507508
550;1,61488E+12;JATOBA;PE;2608057
553;5,10514E+12;SAO SEBASTIAO DA BOA VISTA;PA;1507706
557;5,13386E+12;SOURE;PA;1507904
558;1,59602E+12;TAMANDARE;PE;2614857
560;1,6316E+12;CAMPESTRE;AL;2701357
562;2,91713E+12;JEQUIA DA PRAIA;AL;2703759
564;1,61627E+12;ALTO CAPARAO;MG;3102050
565;4,87362E+12;VISEU;PA;1508308
566;1,11394E+12;ANGELANDIA;MG;3102852
569;4,14418E+12;RIO MARIA;PA;1506161
574;1,60201E+12;BRASILANDIA DE MINAS;MG;3108552
575;2,29388E+13;BOM JESUS DO TOCANTINS;PA;1501576
577;2,29388E+13;BREJO GRANDE DO ARAGUAIA;PA;1501758
578;1,60371E+12;CABECEIRA GRANDE;MG;3109451
579;1,41458E+13;CONCORDIA DO PARA;PA;1502756
582;1,61744E+12;CANTAGALO;MG;3112059
586;1,6125E+12;CATUTI;MG;3115474
589;3,45935E+13;MEDICILANDIA;PA;1504455
590;1,61249E+12;CONEGO MARINHO;MG;3117836
591;2,29806E+13;OURILANDIA DO NORTE;PA;1505437
594;1,61486E+12;CORREGO FUNDO;MG;3119955
595;2,2981E+13;PARAUAPEBAS;PA;1505536
597;1,02223E+13;RUROPOLIS;PA;1506195
598;1,61542E+12;CUPARAQUE;MG;3120839
601;5,98912E+12;AMAPA;AP;1600105
602;1,02088E+12;DELTA;MG;3121258
603;5,99044E+12;CALCOENE;AP;1600204
606;1,60278E+12;DOM BOSCO;MG;3122470
607;5,98643E+12;MAZAGAO;AP;1600402
613;2,30669E+13;LARANJAL DO JARI;AP;1600279
614;1,61248E+12;GAMELEIRAS;MG;3127339
615;2,30666E+13;SANTANA;AP;1600600
618;1,61542E+12;GOIABEIRA;MG;3127370
619;1,02492E+13;SAO GERALDO DO ARAGUAIA;PA;1507458
622;1,61255E+12;GUARACIAMA;MG;3128253
623;8,33347E+13;ULIANOPOLIS;PA;1508126
626;1,61323E+12;IMBE DE MINAS;MG;3130556
627;8,32114E+13;GOIANESIA DO PARA;PA;1503093
629;3,46264E+13;NOVO REPARTIMENTO;PA;1505064
630;1,61248E+12;JAPONVAR;MG;3135357
631;1,02217E+13;JACAREACANGA;PA;1503754
634;1,61337E+12;JOSE GONCALVES DE MINAS;MG;3136520
638;1,6125E+12;JOSENOPOLIS;MG;3136579
641;3,48879E+13;VITORIA DO XINGU;PA;1508357
642;1,58711E+12;LEME DO PRADO;MG;3138351
643;8,43067E+13;ACRELANDIA;AC;1200013
645;8,43066E+13;BUJARI;AC;1200138
646;1,61289E+12;LUISLANDIA;MG;3138682
647;8,43066E+13;CAPIXABA;AC;1200179
650;1,61542E+12;MARTINS SOARES;MG;3140530
651;8,43066E+13;EPITACIOLANDIA;AC;1200252
654;1,61501E+12;MONTE FORMOSO;MG;3143153
655;8,43065E+13;MARECHAL THAUMATURGO;AC;1200351
657;6,36036E+13;PORTO WALTER;AC;1200393
661;8,43065E+13;SANTA ROSA DO PURUS;AC;1200435
662;1,61317E+12;NOVA BELEM;MG;3144672
666;1,61337E+12;NOVO ORIENTE DE MINAS;MG;3145356
667;3,49252E+13;CUTIAS;AP;1600212
670;1,61255E+12;OLHOS-D'AGUA;MG;3145455
673;3,49252E+13;PRACUUBA;AP;1600550
674;1,61627E+12;ORIZANIA;MG;3145877
677;6,37621E+13;CACAULANDIA;RO;1100601
678;1,61248E+12;PAI PEDRO;MG;3146552
681;6,37619E+13;CANDEIAS DO JAMARI;RO;1100809
682;1,64043E+12;PEDRA BONITA;MG;3148756
686;1,61313E+12;PIEDADE DE CARATINGA;MG;3150158
689;6,3762E+13;NOVO HORIZONTE DO OESTE;RO;1100502
690;1,61248E+12;PINTOPOLIS;MG;3150570
694;1,61338E+12;PONTO DOS VOLANTES;MG;3152170
695;6,37621E+13;MINISTRO ANDREAZZA;RO;1101203
697;6,37871E+13;MIRANTE DA SERRA;RO;1101302
699;6,3762E+13;SERINGUEIRAS;RO;1101500
701;6,09666E+12;AFONSO CUNHA;MA;2100105
702;1,61537E+12;SANTA CRUZ DE MINAS;MG;3157336
704;1,6125E+12;SANTA CRUZ DE SALINAS;MG;3157377
705;6,09685E+12;ALDEIAS ALTAS;MA;2100303
708;1,61248E+12;SANTO ANTONIO DO RETIRO;MG;3160454
709;6,99757E+12;ALTO PARNAIBA;MA;2100501
712;1,61312E+12;SAO FELIX DE MINAS;MG;3161056
713;6,00237E+12;ANAJATUBA;MA;2100709
716;1,61249E+12;SAO JOAO DA LAGOA;MG;3162252
717;6,45019E+12;ARAIOSES;MA;2100907
722;1,61252E+12;SAO JOAQUIM DE BICAS;MG;3162922
723;6,01435E+12;BACABAL;MA;2101202
726;1,61685E+12;SAO SEBASTIAO DA VARGEM ALEGRE;MG;3164431
727;6,44143E+12;BALSAS;MA;2101400
730;1,61251E+12;SARZEDO;MG;3165537
731;6,7698E+12;BARRA DO CORDA;MA;2101608
735;6,09622E+12;BENEDITO LEITE;MA;2101806
736;1,6125E+12;SERRANOPOLIS DE MINAS;MG;3166956
739;6,11674E+12;BREJO;MA;2102101
742;1,05182E+12;UNIAO DE MINAS;MG;3170438
746;1,61313E+12;VARGEM ALEGRE;MG;3170578
747;6,46984E+12;CAJARI;MA;2102507
750;1,60978E+12;VARJAO DE MINAS;MG;3170750
751;6,15616E+12;CANTANHEDE;MA;2102705
754;1,61469E+12;VEREDINHA;MG;3171071
755;6,90355E+12;CARUTAPERA;MA;2102903
758;1,61267E+12;BREJETUBA;ES;3201159
759;6,23501E+12;CEDRAL;MA;2103109
760;1,60941E+12;MARATAIZES;ES;3203320
762;1,61433E+12;PONTO BELO;ES;3204252
763;6,10486E+12;CODO;MA;2103307
764;1,61287E+12;SAO ROQUE DO CANAA;ES;3204955
767;6,11368E+12;COLINAS;MA;2103505
768;1,61923E+12;VILA VALERIO;ES;3205176
771;5,73347E+12;CURURUPU;MA;2103703
774;1,61588E+12;IGUABA GRANDE;RJ;3301876
775;6,31444E+12;DUQUE BACELAR;MA;2103901
778;1,61298E+12;PINHEIRAL;RJ;3303955
782;1,62378E+12;SAO FRANCISCO DE ITABAPOANA;RJ;3304755
783;6,15705E+12;GODOFREDO VIANA;MA;2104305
786;1,60414E+12;SEROPEDICA;RJ;3305554
787;6,13815E+12;GOVERNADOR ARCHER;MA;2104503
791;6,14059E+12;GRACA ARANHA;MA;2104701
793;6,37706E+12;GRAJAU;MA;2104800
794;1,61921E+12;CANAS;SP;3509957
797;6,22262E+12;HUMBERTO DE CAMPOS;MA;2105005
798;1,55977E+12;GAVIAO PEIXOTO;SP;3516853
801;6,32321E+12;IGARAPE GRANDE;MA;2105203
802;1,61215E+12;JUMIRIM;SP;3525854
803;6,15846E+12;IMPERATRIZ;MA;2105302
805;6,46002E+12;SAO LUIS GONZAGA DO MARANHAO;MA;2111409
806;1,6132E+12;NOVA CASTILHO;SP;3532868
807;5,6487E+12;ITAPECURU MIRIM;MA;2105401
809;7,0003E+12;JOAO LISBOA;MA;2105500
814;1,57678E+12;PRATANIA;SP;3541059
815;6,46003E+12;LAGO DO JUNCO;MA;2105807
819;6,93352E+12;LIMA CAMPOS;MA;2106003
822;1,61121E+12;SANTA SALETE;SP;3547650
823;5,29259E+12;LUIS DOMINGUES;MA;2106201
826;1,5726E+12;TRABIJU;SP;3554755
827;6,11995E+12;MATA ROMA;MA;2106409
831;6,11463E+12;MATOES;MA;2106607
832;1,61245E+12;ARIRANHA DO IVAI;PR;4101853
835;6,34224E+12;MIRINZAL;MA;2106805
836;1,61291E+12;BOA VENTURA DE SAO ROQUE;PR;4103040
839;6,7591E+12;MONTES ALTOS;MA;2107001
840;1,61149E+12;CAMPINA DO SIMAO;PR;4103958
843;6,12441E+12;NINA RODRIGUES;MA;2107209
844;1,61377E+12;CARAMBEI;PR;4104659
847;6,01401E+12;OLHO D'AGUA DAS CUNHAS;MA;2107407
848;1,61539E+12;CRUZMALTINA;PR;4106852
851;6,20994E+12;PALMEIRANDIA;MA;2107605
852;1,61263E+12;ESPIGAO ALTO DO IGUACU;PR;4107546
856;1,60372E+12;FOZ DO JORDAO;PR;4108452
859;5,27717E+12;PASTOS BONS;MA;2108009
860;1,61626E+12;GUAMIRANGA;PR;4108957
863;6,1794E+12;PENALVA;MA;2108306
867;6,18934E+12;PINDARE-MIRIM;MA;2108504
868;1,61244E+12;PEROBAL;PR;4118857
871;6,44783E+12;PIO XII;MA;2108702
872;1,59162E+12;PORTO BARREIRO;PR;4120150
875;6,20281E+12;POCAO DE PEDRAS;MA;2108900
876;1,6191E+12;QUARTO CENTENARIO;PR;4120655
879;6,13837E+12;PRESIDENTE DUTRA;MA;2109106
880;1,61241E+12;RIO BRANCO DO IVAI;PR;4122172
883;6,12474E+12;PRESIDENTE VARGAS;MA;2109304
887;5,2828E+12;RIACHAO;MA;2109502
888;1,60548E+12;BALNEARIO ARROIO DO SILVA;SC;4201950
889;6,35151E+12;SAO JOSE DE RIBAMAR;MA;2111201
891;4,14796E+13;ROSARIO;MA;2109601
892;1,61253E+12;BANDEIRANTE;SC;4202081
895;6,22658E+12;SANTA HELENA;MA;2109809
896;1,61289E+12;BELA VISTA DO TOLDO;SC;4202131
897;6,191E+12;SANTA LUZIA;MA;2110005
900;1,55115E+12;BOM JESUS;SC;4202537
901;6,34418E+13;SANTA RITA;MA;2110203
905;6,39815E+12;SAO BENEDITO DO RIO PRETO;MA;2110401
908;1,61312E+12;CHAPADAO DO LAGEADO;SC;4204194
909;6,12539E+12;SAO BERNARDO;MA;2110609
916;1,56662E+12;FLOR DO SERTAO;SC;4205357
917;3,51014E+13;SAO JOAO BATISTA;MA;2111003
920;1,61275E+12;IBIAM;SC;4206751
921;6,3071E+12;SAO LUIS;MA;2111300
924;1,59313E+12;JUPIA;SC;4209177
929;5,63103E+12;SITIO NOVO;MA;2111805
932;1,61057E+12;PALMEIRA;SC;4212056
933;6,99756E+12;TASSO FRAGOSO;MA;2112001
936;1,61284E+12;SALTINHO;SC;4215356
937;6,11531E+12;TIMON;MA;2112209
938;1,61285E+12;SANTA TEREZINHA DO PROGRESSO;SC;4215687
942;1,61281E+12;SAO BERNARDINO;SC;4215752
945;5,50584E+12;URBANO SANTOS;MA;2112605
948;1,61402E+12;TREVISO;SC;4218350
949;6,43999E+12;VIANA;MA;2112803
952;1,61292E+12;ARARICA;RS;4300877
953;6,01857E+12;VITORINO FREIRE;MA;2113009
955;6,22998E+12;BOM JARDIM;MA;2102002
959;6,02952E+12;PAULO RAMOS;MA;2108108
961;7,00027E+12;ACAILANDIA;MA;2100055
963;7,07087E+12;ESTREITO;MA;2104057
964;1,61416E+12;CARAA;RS;4304713
965;2,30063E+13;CAREIRO DA VARZEA;AM;1301159
966;1,61287E+12;CERRITO;RS;4305124
969;2,2813E+13;APUI;AM;1300144
970;1,61087E+12;CHUVISCA;RS;4305447
971;1,28428E+13;TEOTONIO VILELA;AL;2709152
974;1,6094E+12;DILERMANDO DE AGUIAR;RS;4306379
977;6,37871E+13;URUPA;RO;1101708
983;3,50491E+13;CATUNDA;CE;2303659
985;2,3718E+13;JIJOCA DE JERICOACOARA;CE;2307254
986;1,61229E+12;FLORIANO PEIXOTO;RS;4308250
994;1,61057E+12;MACAMBARA;RS;4311718
997;4,15223E+13;JARDIM DO MULATO;PI;2205250
1002;1,62171E+12;MUITOS CAPOES;RS;4312617
1003;6,55476E+12;AGUA BRANCA;PI;2200202
1006;1,61183E+12;NOVA RAMADA;RS;4313334
1007;6,55479E+12;ALTOS;PI;2200400
1010;1,61236E+12;PASSA SETE;RS;4314068
1011;6,55475E+12;ANGICAL DO PIAUI;PI;2200608
1014;1,61278E+12;SETE DE SETEMBRO;RS;4320578
1015;6,55402E+12;ANTONIO ALMEIDA;PI;2200806
1017;6,55498E+12;AROAZES;PI;2200905
1021;6,55428E+12;AVELINO LOPES;PI;2201101
1022;1,61154E+12;UBIRETAMA;RS;4322343
1025;6,55422E+12;BARREIRAS DO PIAUI;PI;2201309
1026;1,62473E+12;VALE VERDE;RS;4322525
1029;6,5539E+12;BATALHA;PI;2201507
1030;1,61239E+12;VILA LANGARO;RS;4323358
1033;6,55403E+12;BERTOLINIA;PI;2201705
1034;1,61791E+12;CARLINDA;MT;5102793
1037;6,55436E+12;BOM JESUS;PI;2201903
1042;1,61452E+12;NOVA UBIRATA;MT;5106240
1045;6,55404E+12;CANTO DO BURITI;PI;2202307
1046;1,61423E+12;SAPEZAL;MT;5107875
1049;6,55362E+12;CARACOL;PI;2202505
1050;1,61394E+12;ABADIA DE GOIAS;GO;5200050
1054;1,4921E+12;AMARALINA;GO;5200829
1057;6,55426E+12;CORRENTE;PI;2202901
1058;1,62928E+12;NOVO GAMA;GO;5215231
1061;6,55436E+12;CRISTINO CASTRO;PI;2203107
1062;1,61276E+12;SANTA RITA DO NOVO DESTINO;GO;5219456
1063;6,55427E+12;CURIMATA;PI;2203206
1066;1,61632E+12;VALPARAISO DE GOIAS;GO;5221858
1067;6,55371E+12;DOM EXPEDITO LOPES;PI;2203404
1070;4,21659E+12;CAMPO LIMPO DE GOIAS;GO;5204854
1071;6,55406E+12;ELISEU MARTINS;PI;2203602
1074;4,21538E+12;IPIRANGA DE GOIAS;GO;5210158
1075;6,55416E+12;FLORES DO PIAUI;PI;2203800
1078;4,17395E+12;BOM JESUS DO ARAGUAIA;MT;5101852
